actual_update_rate_hz,aoi_p95_s,contract_at_risk_fraction,contract_observable_fraction,contract_qualified_fraction,contract_withdrawn_fraction,duration_s,economy_fraction,gps_valid_fraction,high_fraction,json_parse_errors,json_records,jsonl_present,latency_p95_ms,missing_files,normal_fraction,payload_bytes_per_s,payload_bytes_total,physical_condition,policy,requested_update_rate_mean_hz,requested_update_rate_p95_hz,sequence_gap_total,telemetry_column_count,telemetry_present,telemetry_rows_manifest,telemetry_rows_observed,timestamps_strictly_increasing,trial,video_present,wireless_condition
1.3320123293703192,0.16769845485687254,0.0,0.13729508196721307,0.0,0.13729508196721313,90.84000000000015,1.0,1,0.0,0,122,True,986.3916277885432,,0.0,831.3518273888142,75520.0,smooth_floor_mixed_motion,static-low,2.0,2.0,3,46,True,115,115,True,1,True,wifi_baseline
1.410312913177608,0.19534044265747066,0.001937984496124031,0.25193798449612403,0.0,0.25,90.76000000000022,1.0,1,0.0,0,129,True,824.8128414154053,,0.0,883.5610401057713,80192.0,smooth_floor_mixed_motion,static-low,2.0,2.0,1,46,True,127,127,True,2,True,wifi_baseline
1.4000193106111847,0.15187764167785645,0.0,0.16666666666666663,0.0,0.16666666666666666,82.85599999999977,1.0,1,0.0,0,117,True,725.6702899932861,,0.0,886.7311962923651,73471.0,smooth_floor_mixed_motion,static-low,2.0,2.0,1,46,True,123,123,True,3,True,wifi_baseline
1.4158059649529986,0.15395290851593016,0.0,0.20731707317073167,0.006097560975609756,0.20121951219512196,86.17000000000007,1.0,1,0.0,0,123,True,741.0114288330077,,0.0,893.7217128931175,77012.0,smooth_floor_mixed_motion,static-low,2.0,2.0,1,46,True,123,123,True,4,True,wifi_baseline
1.4885874958650265,0.1471216082572937,0.0,0.25735294117647056,0.001838235294117647,0.2555147058823529,90.69000000000051,1.0,1,0.0,0,136,True,719.9717164039612,,0.0,936.5200132318836,84933.0,smooth_floor_mixed_motion,static-low,2.0,2.0,0,46,True,127,127,True,5,True,wifi_baseline
1.4937504118797196,0.15053834915161132,0.0,0.16058394160583944,0.0018248175182481751,0.15875912408759124,91.04599999999937,0.0,1,1.0,0,137,True,733.8144779205322,,0.0,944.6323836302594,86005.0,smooth_floor_mixed_motion,static-high,10.0,10.0,0,46,True,131,131,True,1,True,wifi_baseline
1.4982010651444035,0.14814161062240602,0.0,0.21739130434782605,0.0,0.21739130434782608,91.44300000000021,0.0,1,1.0,0,138,True,719.7342872619629,,0.0,945.4523582997036,86455.0,smooth_floor_mixed_motion,static-high,10.0,10.0,0,46,True,130,130,True,2,True,wifi_baseline
1.4939473163872896,0.1487483501434326,0.0018248175182481751,0.2572992700729927,0.0036496350364963502,0.2518248175182482,91.03399999999965,0.0,1,1.0,0,137,True,730.6206703186035,,0.0,942.85651514819,85832.0,smooth_floor_mixed_motion,static-high,10.0,10.0,0,46,True,130,130,True,3,True,wifi_baseline
1.4948504599962584,0.15043878555297843,0.0,0.25182481751824815,0.0018248175182481751,0.25,90.97900000000027,0.0,1,1.0,0,137,True,724.0945339202881,,0.0,943.5584035876383,85844.0,smooth_floor_mixed_motion,static-high,10.0,10.0,0,46,True,132,132,True,4,True,wifi_baseline
1.4857369255150623,0.14805632829666138,0.0,0.28308823529411764,0.001838235294117647,0.28125,90.86399999999958,0.0,1,1.0,0,136,True,734.0489029884338,,0.0,937.5440218348344,85189.0,smooth_floor_mixed_motion,static-high,10.0,10.0,0,46,True,131,131,True,5,True,wifi_baseline
1.501304052425099,0.2172852277755738,0.0,0.1721014492753623,0.0036231884057971015,0.16847826086956522,91.25400000000002,0.5797101449275363,1,0.0,0,138,True,780.5638551712036,,0.42028985507246375,914.5571700966531,83457.0,smooth_floor_mixed_motion,aoi-only,3.260869565217391,5.0,1,46,True,129,129,True,1,True,wifi_baseline
1.4825389852844288,0.2423410415649414,0.0,0.22977941176470584,0.0,0.22977941176470587,91.05999999999995,0.375,1,0.0,0,136,True,808.922529220581,,0.625,914.0017570832424,83229.0,smooth_floor_mixed_motion,aoi-only,3.875,5.0,0,46,True,130,130,True,2,True,wifi_baseline
1.5317621829799335,0.14653420448303223,0.0,0.21099290780141844,0.0,0.21099290780141844,91.39800000000002,0.8794326241134752,1,0.0,0,141,True,722.2201824188232,,0.12056737588652482,949.1126720497164,86747.0,smooth_floor_mixed_motion,aoi-only,2.3617021276595747,5.0,0,46,True,131,131,True,3,True,wifi_baseline
1.530668428587161,0.15335257053375242,0.0,0.15892857142857142,0.0035714285714285713,0.15535714285714286,90.80999999999995,0.9428571428571428,1,0.0,0,140,True,719.1647052764893,,0.05714285714285714,949.7412179275416,86246.0,smooth_floor_mixed_motion,aoi-only,2.1714285714285713,5.0,0,46,True,132,132,True,4,True,wifi_baseline
1.534605915408989,0.1476217150688171,0.0,0.23392857142857137,0.007142857142857143,0.22678571428571428,90.577,0.9428571428571428,1,0.0,0,140,True,717.2574281692505,,0.05714285714285714,951.4667078838999,86181.0,smooth_floor_mixed_motion,aoi-only,2.1714285714285713,5.0,0,46,True,133,133,True,5,True,wifi_baseline
1.5298092691033558,0.14507534503936767,0.0,0.21071428571428574,0.0,0.21071428571428572,90.86099999999999,0.0,1,0.8428571428571429,0,140,True,722.5585699081421,,0.15714285714285714,948.6578399973587,86196.0,smooth_floor_mixed_motion,contract-aware,9.214285714285714,10.0,0,46,True,131,131,True,1,True,wifi_baseline
1.5233301321323327,0.15051913261413574,0.0,0.19784172661870503,0.0035971223021582736,0.19424460431654678,90.5909999999999,0.0,1,0.8345323741007195,0,139,True,717.1594858169556,,0.16546762589928057,950.9112384232441,86144.0,smooth_floor_mixed_motion,contract-aware,9.172661870503598,10.0,0,46,True,132,132,True,2,True,wifi_baseline
1.5205271160669025,0.14441449642181398,0.0,0.11330935251798557,0.0035971223021582736,0.10971223021582734,90.75800000000004,0.0,1,0.37410071942446044,0,139,True,720.8016872406006,,0.6258992805755396,948.1698583045016,86054.0,smooth_floor_mixed_motion,contract-aware,6.870503597122302,10.0,0,46,True,132,132,True,3,True,wifi_baseline
1.5162335878701334,0.14911227226257323,0.0,0.17086330935251803,0.0,0.17086330935251798,91.01499999999987,0.0,1,0.7266187050359713,0,139,True,717.4659729003906,,0.2733812949640288,949.1402516068794,86386.0,smooth_floor_mixed_motion,contract-aware,8.633093525179856,10.0,0,46,True,131,131,True,4,True,wifi_baseline
1.5127256666482627,0.1490312933921814,0.0036231884057971015,0.2065217391304348,0.0,0.2028985507246377,90.56500000000005,0.0,1,0.8333333333333334,0,138,True,719.3244338035583,,0.16666666666666666,946.6570971125705,85734.0,smooth_floor_mixed_motion,contract-aware,9.166666666666666,10.0,0,46,True,130,130,True,5,True,wifi_baseline
