sequence,method,family,horizon_s,position_tolerance_m,heading_tolerance_deg,n_traces,position_valid_fraction_median,position_valid_fraction_mean,joint_valid_fraction_median,joint_valid_fraction_mean
ts_2022_06_09_13h16m39s_one_row,frozen_v2_checkpoint,global_synchronization,0.0,0.5,2.0,30,0.023809523809523808,0.023809523809523815,0.015873015873015872,0.015873015873015872
ts_2022_06_09_13h16m39s_one_row,frozen_v2_checkpoint,global_synchronization,0.0,0.5,5.0,30,0.023809523809523808,0.023809523809523815,0.023809523809523808,0.023809523809523815
ts_2022_06_09_13h16m39s_one_row,frozen_v2_checkpoint,global_synchronization,0.0,0.5,10.0,30,0.023809523809523808,0.023809523809523815,0.023809523809523808,0.023809523809523815
ts_2022_06_09_13h16m39s_one_row,frozen_v2_checkpoint,global_synchronization,0.0,0.5,20.0,30,0.023809523809523808,0.023809523809523815,0.023809523809523808,0.023809523809523815
ts_2022_06_09_13h16m39s_one_row,frozen_v2_checkpoint,global_synchronization,0.0,0.5,30.0,30,0.023809523809523808,0.023809523809523815,0.023809523809523808,0.023809523809523815
ts_2022_06_09_13h16m39s_one_row,frozen_v2_checkpoint,global_synchronization,0.0,0.5,45.0,30,0.023809523809523808,0.023809523809523815,0.023809523809523808,0.023809523809523815
ts_2022_06_09_13h16m39s_one_row,frozen_v2_checkpoint,global_synchronization,0.0,1.0,2.0,30,0.031746031746031744,0.03148148148148148,0.023809523809523808,0.02354497354497355
ts_2022_06_09_13h16m39s_one_row,frozen_v2_checkpoint,global_synchronization,0.0,1.0,5.0,30,0.031746031746031744,0.03148148148148148,0.031746031746031744,0.03148148148148148
ts_2022_06_09_13h16m39s_one_row,frozen_v2_checkpoint,global_synchronization,0.0,1.0,10.0,30,0.031746031746031744,0.03148148148148148,0.031746031746031744,0.03148148148148148
ts_2022_06_09_13h16m39s_one_row,frozen_v2_checkpoint,global_synchronization,0.0,1.0,20.0,30,0.031746031746031744,0.03148148148148148,0.031746031746031744,0.03148148148148148
ts_2022_06_09_13h16m39s_one_row,frozen_v2_checkpoint,global_synchronization,0.0,1.0,30.0,30,0.031746031746031744,0.03148148148148148,0.031746031746031744,0.03148148148148148
ts_2022_06_09_13h16m39s_one_row,frozen_v2_checkpoint,global_synchronization,0.0,1.0,45.0,30,0.031746031746031744,0.03148148148148148,0.031746031746031744,0.03148148148148148
ts_2022_06_09_13h16m39s_one_row,frozen_v2_checkpoint,global_synchronization,0.0,2.0,2.0,30,0.03968253968253968,0.03968253968253969,0.023809523809523808,0.023809523809523815
ts_2022_06_09_13h16m39s_one_row,frozen_v2_checkpoint,global_synchronization,0.0,2.0,5.0,30,0.03968253968253968,0.03968253968253969,0.03968253968253968,0.03968253968253969
ts_2022_06_09_13h16m39s_one_row,frozen_v2_checkpoint,global_synchronization,0.0,2.0,10.0,30,0.03968253968253968,0.03968253968253969,0.03968253968253968,0.03968253968253969
ts_2022_06_09_13h16m39s_one_row,frozen_v2_checkpoint,global_synchronization,0.0,2.0,20.0,30,0.03968253968253968,0.03968253968253969,0.03968253968253968,0.03968253968253969
ts_2022_06_09_13h16m39s_one_row,frozen_v2_checkpoint,global_synchronization,0.0,2.0,30.0,30,0.03968253968253968,0.03968253968253969,0.03968253968253968,0.03968253968253969
ts_2022_06_09_13h16m39s_one_row,frozen_v2_checkpoint,global_synchronization,0.0,2.0,45.0,30,0.03968253968253968,0.03968253968253969,0.03968253968253968,0.03968253968253969
